Date,Cumulate_day,Month,Weekday,Day,Hour,Temperature,weekdays,Power_price(CNY/kWh),Heating_or_cooling_consumption(kwh),Electrical_equipment_consumption(kwh),Lighting_Power_Consumption(kwh),Total_consumption(kWh)
2023/1/1,1,1,1,1,1,-3,7,0.2407,15.80043738,1.168845,0.3740304,17.34331278
2023/1/1,1,1,1,1,2,-3,7,0.2407,16.32199383,1.168845,0.3740304,17.86486923
2023/1/1,1,1,1,1,3,-3,7,0.2407,16.80834514,1.168845,0.3740304,18.35122054
2023/1/1,1,1,1,1,4,-3,7,0.2407,17.28219787,1.168845,0.3740304,18.82507327
2023/1/1,1,1,1,1,5,-3,7,0.2407,17.64663705,1.168845,0.3740304,19.18951245
2023/1/1,1,1,1,1,6,-3,7,0.2407,17.96821646,1.168845,0.3740304,19.51109186
2023/1/1,1,1,1,1,7,-3,7,0.2407,15.93860476,1.168845,0.3740304,17.48148016
2023/1/1,1,1,1,1,8,-3,7,0.7081,15.45151777,1.168845,0.3740304,16.99439317
2023/1/1,1,1,1,1,9,-3,7,0.7081,7.027230092,1.168845,0.3740304,8.570105492
2023/1/1,1,1,1,1,10,-3,7,0.7081,4.016283956,1.168845,0.3740304,5.559159356
2023/1/1,1,1,1,1,11,-2,7,1.2268,0.167566847,1.168845,0.3740304,1.710442247
2023/1/1,1,1,1,1,12,-0.8,7,1.2268,1.93198804,1.168845,0.3740304,3.47486344
2023/1/1,1,1,1,1,13,3,7,1.2268,1.345397223,1.168845,0.3740304,2.888272623
2023/1/1,1,1,1,1,14,4,7,1.2268,0,1.168845,0.3740304,1.5428754
2023/1/1,1,1,1,1,15,4.1,7,1.2268,0,1.168845,0.3740304,1.5428754
2023/1/1,1,1,1,1,16,3,7,0.7081,2.209733836,1.168845,0.3740304,3.752609236
2023/1/1,1,1,1,1,17,3,7,0.7081,4.273823924,1.168845,0.3740304,5.816699324
2023/1/1,1,1,1,1,18,2.5,7,0.7081,11.13697445,1.168845,0.3740304,12.67984985
2023/1/1,1,1,1,1,19,1,7,1.2268,7.567934224,1.168845,0.3740304,9.110809624
2023/1/1,1,1,1,1,20,0,7,1.2268,11.6323138,1.168845,0.3740304,13.1751892
2023/1/1,1,1,1,1,21,0.7,7,1.2268,12.9807473,1.168845,0.3740304,14.5236227
